1|1|3|TERRESTRE|15.000000
2|3|1|TERRESTRE|15.000000
3|1|4|TERRESTRE|20.000000
4|4|1|TERRESTRE|20.000000
5|1|5|TERRESTRE|35.000000
6|5|1|TERRESTRE|35.000000
7|1|9|TERRESTRE|165.000000
8|9|1|TERRESTRE|165.000000
9|9|6|TERRESTRE|75.000000
10|6|9|TERRESTRE|75.000000
11|6|7|TERRESTRE|150.000000
12|7|6|TERRESTRE|150.000000
13|7|2|TERRESTRE|115.000000
14|2|7|TERRESTRE|115.000000
15|2|8|TERRESTRE|80.000000
16|8|2|TERRESTRE|80.000000
17|8|10|TERRESTRE|45.000000
18|10|8|TERRESTRE|45.000000
19|2|10|TERRESTRE|90.000000
20|10|2|TERRESTRE|90.000000
